;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Goals GA;Goals PKA;Goals FK;Goals CK;Goals OG;Expected PSxG;Expected PSxG/SoT;Expected PSxG+/-;Expected /90;Launched Cmp;Launched Att;Launched Cmp%;Passes Att;Passes Thr;Passes Launch%;Passes AvgLen;Goal Kicks Att;Goal Kicks Launch%;Goal Kicks AvgLen;Crosses Opp;Crosses Stp;Crosses Stp%;Sweeper #OPA;Sweeper #OPA/90;Sweeper AvgDist; Matches;#NAME?
1;Antonio Adán;es ESP;GK;Betis;es La Liga;30;1987;30.0;1.77;0.10;0.00;0.17;0.13;1.39;0.29;-0.24;-0.24;5.87;16.3;35.9;33.4;4.33;33.8;32.8;8.43;59.7;44.4;15.6;0.57;3.6;0.73;0.73;14.6;Matches;65d62814
2;René Adler;de GER;GK;Mainz 05;de Bundesliga;32;1985;14.0;1.29;0.07;0.00;0.36;0.00;1.00;0.25;-0.29;-0.29;5.57;15.4;36.1;23.0;3.93;39.1;36.3;8.36;76.9;54.9;14.9;1.36;9.1;1.57;1.57;15.4;Matches;f71890f5
3;Adrián;es ESP;GK;West Ham;eng Premier League;30;1987;19.0;1.53;0.05;0.05;0.32;0.05;1.46;0.29;-0.01;-0.01;8.11;23.4;34.6;20.2;2.47;72.8;47.7;9.68;90.2;59.3;16.6;0.68;4.1;1.63;1.63;16.0;Matches;f76e6b4e
4;Alisson;br BRA;GK;Roma;it Serie A;24;1992;37.0;0.76;0.08;0.00;0.05;0.00;0.96;0.23;0.20;+0.20;5.76;11.2;51.2;28.9;6.46;28.9;32.1;6.81;42.5;41.0;12.7;0.46;3.6;2.43;2.43;18.9;Matches;7a2e46a8
5;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;30;1986;16.4;1.77;0.06;0.00;0.24;0.06;1.42;0.31;-0.29;-0.29;6.71;17.4;38.6;30.1;2.93;40.5;36.3;7.87;65.9;50.6;13.0;0.49;3.7;1.10;1.10;14.1;Matches;8875b8c9
6;Ibrahim Amadou;fr FRA;MFDF;Lille;fr Ligue 1;24;1993;26.7;0.07;0.04;0.00;0.00;0.00;0.06;0.20;-0.02;-0.02;0.00;0.00;;0.00;0.00;;;0.00;;;0.04;0.00;0.0;0.00;0.00;;Matches;9260926b
7;Jon Ander Serantes;es ESP;GK;Leganés;es La Liga;27;1989;1.0;2.00;0.00;0.00;0.00;0.00;2.70;0.34;0.70;+0.71;8.00;26.0;30.8;25.0;1.00;72.0;54.5;8.00;100.0;71.5;9.00;1.00;11.1;0.00;0.00;8.0;Matches;983ccabe
8;Nícolas Andrade;br BRA;GK;Hellas Verona;it Serie A;29;1988;36.0;1.97;0.17;0.11;0.25;0.06;1.79;0.25;-0.13;-0.13;10.1;24.4;41.3;28.8;6.86;53.4;41.1;11.1;81.2;55.0;20.2;1.36;6.7;0.89;0.89;12.7;Matches;326d09ef
