;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
1;Adrián;es ESP;GK;Liverpool;eng Premier League;33;1987;3;3;270;3.0;3.00;3.00;6.00;3.00;50.0;0.33;0.33;0.33;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;f76e6b4e
2;Rúnar Alex Rúnarsson;is ISL;GK;Arsenal;eng Premier League;25;1995;1;0;16;0.2;0.00;0.00;10.0;10.0;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;8fa8f8d2
3;Alisson;br BRA;GK;Liverpool;eng Premier League;27;1992;33;33;2970;33.0;0.97;0.97;3.48;2.48;75.7;0.55;0.24;0.21;0.30;30.3;0.24;0.12;0.03;0.09;20.0;Matches;7a2e46a8
4;Saturnin Allagbé;bj BEN;GK;Dijon;fr Ligue 1;26;1993;12;12;1080;12.0;2.50;2.50;5.50;3.00;56.1;0.17;0.17;0.67;0.25;25.0;0.25;0.08;0.08;0.08;50.0;Matches;b052b8bf
5;Nícolas Andrade;br BRA;GK;Udinese;it Serie A;32;1988;2;2;180;2.0;2.50;2.50;3.00;0.50;16.7;0.50;0.00;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;326d09ef
6;Ángel;es ESP;GK;Granada;es La Liga;18;2002;1;1;90;1.0;2.00;2.00;9.00;6.00;88.9;0.00;0.00;1.00;0.00;0.0;2.00;1.00;1.00;0.00;50.0;Matches;b1e5bbec
7;Alphonse Areola;fr FRA;GK;Fulham;eng Premier League;27;1993;36;36;3240;36.0;1.33;1.33;4.47;3.17;73.9;0.14;0.36;0.50;0.25;25.0;0.17;0.17;0.00;0.00;0.0;Matches;2f965a72
8;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;25;1994;7;6;585;6.5;1.23;1.23;3.54;2.31;69.6;0.31;0.31;0.31;0.31;33.3;0.15;0.15;0.00;0.00;0.0;Matches;28d596a0
9;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;31;1989;36;36;3240;36.0;1.11;1.11;3.28;2.19;72.0;0.42;0.36;0.22;0.28;27.8;0.25;0.19;0.03;0.03;12.5;Matches;9f0ea33f
10;Emil Audero;it ITA;GK;Sampdoria;it Serie A;23;1997;37;37;3330;37.0;1.46;1.46;4.68;3.19;72.8;0.38;0.19;0.43;0.16;16.2;0.24;0.19;0.05;0.00;22.2;Matches;649b01d8
11;Édgar Badía;es ESP;GK;Elche;es La Liga;28;1992;30;30;2700;30.0;1.53;1.53;4.70;3.07;70.9;0.17;0.37;0.47;0.17;16.7;0.30;0.17;0.10;0.03;37.5;Matches;e4346678
12;Stefan Bajic;fr FRA;GK;Saint-Étienne;fr Ligue 1;18;2001;1;1;90;1.0;4.00;4.00;4.00;0.00;0.0;0.00;0.00;1.00;0.00;0.0;1.00;0.00;0.00;1.00;;Matches;be13e5a8
13;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;30;1990;31;31;2790;31.0;1.65;1.65;4.26;2.61;65.9;0.32;0.26;0.42;0.19;19.4;0.29;0.19;0.06;0.03;25.0;Matches;47064058
14;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;27;1993;38;38;3420;38.0;1.39;1.39;4.63;3.24;73.9;0.39;0.18;0.42;0.24;23.7;0.18;0.18;0.00;0.00;0.0;Matches;8a2248b4
15;Alessandro Berardi;it ITA;GK;Hellas Verona;it Serie A;29;1991;1;0;28;0.3;0.00;0.00;3.33;3.33;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;ec1f737d
16;Paul Bernardoni;fr FRA;GK;Angers;fr Ligue 1;23;1997;38;38;3420;38.0;1.53;1.53;3.66;2.16;63.3;0.32;0.21;0.47;0.24;23.7;0.21;0.18;0.03;0.00;12.5;Matches;28dabd43
17;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;22;1998;9;7;745;8.3;1.33;1.33;5.06;3.73;76.2;0.48;0.24;0.12;0.36;42.9;0.12;0.12;0.00;0.00;0.0;Matches;380a15e2
18;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;25;1995;19;19;1637;18.2;1.48;1.48;3.35;1.87;57.4;0.38;0.33;0.33;0.22;21.1;0.05;0.05;0.00;0.00;0.0;Matches;967f34d3
19;Elias Bördner;de GER;GK;Eint Frankfurt;de Bundesliga;18;2002;1;1;90;1.0;1.00;1.00;6.00;5.00;83.3;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;8758ddf4
20;Yassine Bounou;ma MAR;GK;Sevilla;es La Liga;29;1991;33;33;2970;33.0;0.85;0.85;3.21;2.36;77.4;0.64;0.15;0.21;0.45;45.5;0.18;0.12;0.06;0.00;33.3;Matches;f6798fc3
21;Claudio Bravo;cl CHI;GK;Betis;es La Liga;37;1983;20;20;1800;20.0;1.25;1.25;3.75;2.50;72.0;0.40;0.40;0.20;0.35;35.0;0.25;0.20;0.05;0.00;20.0;Matches;10072610
22;Fabian Bredlow;de GER;GK;Stuttgart;de Bundesliga;25;1995;1;1;90;1.0;1.00;1.00;9.00;8.00;88.9;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;d28339cb
23;Gianluigi Buffon;it ITA;GK;Juventus;it Serie A;42;1978;8;8;720;8.0;0.63;0.62;2.63;1.88;85.7;0.88;0.13;0.00;0.38;37.5;0.38;0.25;0.13;0.00;33.3;Matches;e40d028b
24;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;29;1990;19;18;1665;18.5;1.62;1.62;4.97;3.35;71.7;0.49;0.11;0.38;0.22;22.2;0.22;0.22;0.00;0.00;0.0;Matches;9d12e142
25;Jack Butland;eng ENG;GK;Crystal Palace;eng Premier League;27;1993;1;1;90;1.0;2.00;2.00;5.00;3.00;60.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;cc70a1d5
26;David Button;eng ENG;GK;West Brom;eng Premier League;31;1989;1;1;90;1.0;2.00;2.00;6.00;4.00;66.7;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;e608ed4c
27;Marcin Bu?ka;pl POL;GK;Paris S-G;fr Ligue 1;20;1999;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;db87a2c4
28;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;38;1981;1;1;90;1.0;3.00;3.00;3.00;0.00;0.0;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;a179d516
29;Marc-Aurèle Caillard;fr FRA;GK;Metz;fr Ligue 1;26;1994;5;4;361;4.0;2.50;2.49;5.75;3.25;69.6;0.00;0.25;0.75;0.00;0.0;0.75;0.75;0.00;0.00;0.0;Matches;5ee6e943
30;Cárdenas;es ESP;GK;Levante;es La Liga;23;1997;8;8;720;8.0;1.38;1.37;4.88;3.50;71.8;0.13;0.38;0.50;0.13;12.5;0.13;0.00;0.00;0.13;;Matches;e1846dde
31;Scott Carson;eng ENG;GK;Manchester City;eng Premier League;34;1985;1;1;90;1.0;3.00;3.00;5.00;1.00;60.0;1.00;0.00;0.00;0.00;0.0;2.00;1.00;1.00;0.00;50.0;Matches;3e1550ee
32;Kiko Casilla;es ESP;GK;Leeds United;eng Premier League;33;1986;3;3;270;3.0;0.67;0.67;3.33;2.67;80.0;0.67;0.00;0.33;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;58bc7d18
33;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;28;1992;32;32;2880;32.0;1.03;1.03;3.38;2.31;72.2;0.53;0.28;0.19;0.44;43.8;0.16;0.09;0.06;0.00;40.0;Matches;db401046
34;Sébastien Cibois;fr FRA;GK;Brest;fr Ligue 1;22;1998;3;3;270;3.0;1.33;1.33;3.67;2.33;72.7;0.33;0.33;0.33;0.33;33.3;0.33;0.33;0.00;0.00;0.0;Matches;2b9b37b2
35;Alberto Cifuentes;es ESP;GK;Cádiz;es La Liga;41;1979;2;2;180;2.0;1.50;1.50;3.00;1.00;50.0;0.50;0.00;0.50;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;94084f83
36;Jasper Cillessen;nl NED;GK;Valencia;es La Liga;31;1989;10;10;900;10.0;1.10;1.10;4.50;3.30;77.8;0.50;0.10;0.40;0.30;30.0;0.20;0.10;0.10;0.00;50.0;Matches;04ac8285
37;Simone Colombi;it ITA;GK;Parma;it Serie A;29;1991;2;2;180;2.0;3.50;3.50;5.00;1.50;40.0;0.00;0.00;1.00;0.00;0.0;0.50;0.50;0.00;0.00;0.0;Matches;72be9309
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;33;1987;37;37;3330;37.0;1.51;1.51;5.00;3.49;71.9;0.46;0.27;0.27;0.19;18.9;0.14;0.11;0.03;0.00;20.0;Matches;8cabdc1e
39;Alex Cordaz;it ITA;GK;Crotone;it Serie A;37;1983;36;36;3240;36.0;2.53;2.53;5.75;3.28;58.5;0.17;0.08;0.75;0.06;5.6;0.14;0.14;0.00;0.00;0.0;Matches;e66ebabb
40;Angelo da Costa Júnior;br BRA;GK;Bologna;it Serie A;36;1983;6;6;540;6.0;1.50;1.50;4.50;3.00;70.4;0.00;0.83;0.17;0.17;16.7;0.17;0.17;0.00;0.00;0.0;Matches;18736214
41;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;33;1987;38;38;3420;38.0;1.47;1.47;4.11;2.63;68.6;0.34;0.16;0.50;0.37;36.8;0.21;0.18;0.03;0.00;12.5;Matches;2434f24a
