;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
1;Patrick van Aanholt;nl NED;DF;Crystal Palace;eng Premier League;26;1990;24.3;36.4;48.4;75.2;584.2;264.3;19.7;21.9;90.0;12.8;17.7;72.2;3.05;6.26;48.7;0.04;0.09;0.07;-0.05;0.74;2.59;1.15;0.25;3.79;Matches;5f09991f
2;Rolando Aarons;eng ENG;MFFW;Newcastle Utd;eng Premier League;21;1995;1.5;19.3;29.3;65.9;250.7;51.3;16.0;20.0;80.0;1.33;3.33;40.0;1.33;2.00;66.7;0.00;0.00;0.00;0.00;0.00;1.33;0.67;0.67;2.00;Matches;c5942695
3;Rolando Aarons;eng ENG;MFFW;Hellas Verona;it Serie A;21;1995;5.7;15.3;21.1;72.5;206.0;57.0;8.77;10.5;83.3;4.39;6.14;71.4;0.70;1.40;50.0;0.00;0.04;0.02;-0.04;0.53;1.40;1.23;0.18;2.98;Matches;c5942695
4;Ignazio Abate;it ITA;DF;Milan;it Serie A;30;1986;11.7;53.4;66.3;80.5;939.4;387.6;23.3;25.1;92.9;24.5;28.5;86.2;4.96;10.3;48.3;0.00;0.04;0.07;-0.04;0.85;4.70;1.71;0.60;6.92;Matches;1c529186
5;Aymen Abdennour;tn TUN;DF;Marseille;fr Ligue 1;27;1989;5.5;56.4;60.5;93.1;1009.1;283.1;22.9;23.3;98.4;26.9;28.2;95.5;4.36;6.18;70.6;0.00;0.00;0.00;0.00;0.00;1.45;0.00;0.00;2.18;Matches;2f798b41
6;Aly Abeid;mr MTN;DF;Levante;es La Liga;19;1997;0.9;32.2;42.2;76.3;526.7;185.6;18.9;21.1;89.5;11.1;13.3;83.3;2.22;5.56;40.0;0.00;0.11;0.11;-0.11;1.11;0.00;1.11;1.11;1.11;Matches;bbe88396
7;Mehdi Abeid;dz ALG;MF;Dijon;fr Ligue 1;24;1992;13.1;39.2;46.2;84.8;670.8;179.0;17.6;20.2;87.5;16.7;18.7;89.4;3.36;4.73;71.0;0.08;0.02;0.02;0.05;0.53;2.52;0.08;0.00;3.74;Matches;a4c3f7af
8;David Abraham;ar ARG;DF;Eint Frankfurt;de Bundesliga;31;1986;25.6;42.5;51.6;82.4;894.4;331.1;13.6;15.3;89.0;21.4;23.9;89.5;6.95;11.4;60.8;0.08;0.03;0.03;0.05;0.27;3.01;0.12;0.08;4.02;Matches;565bf0da
