recorded_date,age_group,sex,observed_ethnicity,domestic_abuse,borough,method_of_killing,solved_status,year,month.name,season
2003-01-01,25 to 34,Male,White,Not Domestic Abuse,Westminster,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,45 to 54,Male,White,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,65 and over,Female,White,Not Domestic Abuse,Westminster,Blunt Implement,Solved,1,JAN,winter
2003-01-01,0 to 12,Female,White,Not Domestic Abuse,Richmond Upon Thames,Physical Assault,Solved,1,JAN,winter
2003-01-01,20 to 24,Male,Asian,Not Domestic Abuse,Waltham Forest,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,20 to 24,Female,White,Domestic Abuse,Tower Hamlets,Physical Assault,Solved,1,JAN,winter
2003-01-01,20 to 24,Male,Asian,Not Domestic Abuse,Hillingdon,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,35 to 44,Female,White,Not Domestic Abuse,Croydon,Physical Assault,Solved,1,JAN,winter
2003-01-01,25 to 34,Male,Black,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,45 to 54,Male,White,Not Domestic Abuse,Wandsworth,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,35 to 44,Male,White,Not Domestic Abuse,Ealing,Knife or Sharp Implement,Solved,1,JAN,winter
2003-01-01,20 to 24,Female,White,Not Domestic Abuse,Westminster,Physical Assault,Solved,1,JAN,winter
2003-02-01,35 to 44,Female,Black,Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,FEB,winter
2003-02-01,25 to 34,Male,White,Not Domestic Abuse,Merton,Knife or Sharp Implement,Solved,1,FEB,winter
2003-02-01,25 to 34,Female,White,Not Domestic Abuse,Tower Hamlets,Knife or Sharp Implement,Unsolved,1,FEB,winter
2003-02-01,25 to 34,Male,Black,Not Domestic Abuse,Camden,Knife or Sharp Implement,Solved,1,FEB,winter
2003-02-01,35 to 44,Male,Black,Not Domestic Abuse,Lambeth,Shooting,Unsolved,1,FEB,winter
2003-02-01,35 to 44,Male,Black,Not Domestic Abuse,Haringey,Shooting,Solved,1,FEB,winter
2003-02-01,13 to 19,Male,Black,Not Domestic Abuse,Hammersmith & Fulham,Knife or Sharp Implement,Unsolved,1,FEB,winter
2003-02-01,20 to 24,Female,Asian,Not Domestic Abuse,Newham,Physical Assault,Solved,1,FEB,winter
2003-02-01,65 and over,Female,White,Not Domestic Abuse,Barking & Dagenham,Knife or Sharp Implement,Solved,1,FEB,winter
2003-03-01,35 to 44,Male,Black,Not Domestic Abuse,Haringey,Shooting,Solved,1,MAR,spring
2003-03-01,13 to 19,Male,Black,Not Domestic Abuse,Haringey,Knife or Sharp Implement,Solved,1,MAR,spring
