;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Goals GA;Goals PKA;Goals FK;Goals CK;Goals OG;Expected PSxG;Expected PSxG/SoT;Expected PSxG+/-;Expected /90;Launched Cmp;Launched Att;Launched Cmp%;Passes Att;Passes Thr;Passes Launch%;Passes AvgLen;Goal Kicks Att;Goal Kicks Launch%;Goal Kicks AvgLen;Crosses Opp;Crosses Stp;Crosses Stp%;Sweeper #OPA;Sweeper #OPA/90;Sweeper AvgDist; Matches;#NAME?
1;Adrián;es ESP;GK;Liverpool;eng Premier League;33;1987;3.0;3.00;0.00;0.00;0.67;0.00;2.27;0.38;-0.73;-0.72;3.67;9.33;39.3;25.7;6.33;31.2;31.3;7.33;18.2;21.1;11.7;0.00;0.0;2.00;2.00;17.0;Matches;f76e6b4e
2;Rúnar Alex Rúnarsson;is ISL;GK;Arsenal;eng Premier League;25;1995;0.2;0.00;0.00;0.00;0.00;0.00;0.50;0.05;0.50;+0.50;0.00;15.0;0.0;50.0;10.0;30.0;28.2;5.00;0.0;15.0;15.0;0.00;0.0;0.00;0.00;;Matches;8fa8f8d2
3;Alisson;br BRA;GK;Liverpool;eng Premier League;27;1992;33.0;0.97;0.12;0.03;0.12;0.00;1.06;0.27;0.09;+0.09;2.24;5.88;38.1;29.7;5.00;14.9;25.7;5.24;27.7;30.4;10.3;0.61;5.9;2.64;2.64;18.6;Matches;7a2e46a8
4;Saturnin Allagbé;bj BEN;GK;Dijon;fr Ligue 1;26;1993;12.0;2.50;0.08;0.08;0.17;0.08;1.69;0.28;-0.72;-0.72;5.50;15.6;35.3;24.8;5.83;40.7;35.2;8.75;62.9;45.2;13.8;0.42;3.0;1.42;1.42;16.2;Matches;b052b8bf
5;Nícolas Andrade;br BRA;GK;Udinese;it Serie A;32;1988;2.0;2.50;0.00;0.00;0.00;0.00;1.85;0.62;-0.65;-0.64;3.50;6.50;53.8;15.5;3.00;25.8;29.4;4.50;55.6;43.1;11.5;0.00;0.0;0.00;0.00;11.0;Matches;326d09ef
6;Ángel;es ESP;GK;Granada;es La Liga;18;2002;1.0;2.00;1.00;0.00;1.00;0.00;3.10;0.13;1.10;+1.15;9.00;24.0;37.5;14.0;0.00;71.4;43.7;17.0;82.4;54.8;20.0;0.00;0.0;0.00;0.00;7.7;Matches;b1e5bbec
7;Alphonse Areola;fr FRA;GK;Fulham;eng Premier League;27;1993;36.0;1.33;0.17;0.00;0.06;0.03;1.40;0.28;0.10;+0.10;4.00;10.8;37.0;21.1;4.81;32.8;30.0;6.97;55.8;39.8;13.9;0.72;5.2;0.86;0.86;13.0;Matches;2f965a72
8;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;25;1994;6.5;1.23;0.15;0.00;0.00;0.00;1.23;0.31;0.00;0.00;3.23;8.15;39.6;30.8;6.31;18.5;27.3;7.08;34.8;31.1;10.5;0.46;4.4;0.15;0.15;9.6;Matches;28d596a0
