;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
1;Antonio Adán;es ESP;GK;Atlético Madrid;es La Liga;31;1987;2;1;90;1.0;2.00;2.00;7.00;5.00;71.4;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;65d62814
2;Rúnar Alex Rúnarsson;is ISL;GK;Dijon;fr Ligue 1;23;1995;25;25;2250;25.0;1.72;1.72;3.96;2.24;58.6;0.28;0.20;0.52;0.20;20.0;0.08;0.08;0.00;0.00;0.0;Matches;8fa8f8d2
3;Alisson;br BRA;GK;Liverpool;eng Premier League;25;1992;38;38;3420;38.0;0.58;0.58;2.53;1.95;77.1;0.79;0.18;0.03;0.55;55.3;0.03;0.00;0.00;0.03;;Matches;7a2e46a8
4;Bobby Allain;fr FRA;GK;Dijon;fr Ligue 1;26;1991;13;13;1170;13.0;1.31;1.31;5.54;4.31;77.8;0.15;0.15;0.69;0.08;7.7;0.08;0.08;0.00;0.00;0.0;Matches;8870154f
5;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;31;1986;13;13;1170;13.0;1.69;1.69;4.46;2.85;65.5;0.23;0.38;0.38;0.15;15.4;0.15;0.15;0.00;0.00;0.0;Matches;8875b8c9
6;Miguel Ángel Moyá;es ESP;GK;Real Sociedad;es La Liga;34;1984;11;11;990;11.0;1.00;1.00;3.00;2.00;66.7;0.27;0.18;0.55;0.18;18.2;0.00;0.00;0.00;0.00;;Matches;011d8c56
7;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;25;1993;21;21;1890;21.0;0.81;0.81;3.14;2.38;80.3;0.76;0.14;0.10;0.52;52.4;0.19;0.19;0.00;0.00;0.0;Matches;2f965a72
8;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;23;1994;36;36;3240;36.0;1.08;1.08;3.36;2.25;68.6;0.56;0.22;0.22;0.39;38.9;0.06;0.03;0.03;0.00;50.0;Matches;28d596a0
9;Sergio Asenjo;es ESP;GK;Villarreal;es La Liga;29;1989;32;32;2880;32.0;1.41;1.41;5.06;3.72;73.5;0.22;0.38;0.41;0.28;28.1;0.13;0.06;0.03;0.03;33.3;Matches;9f0ea33f
10;Emil Audero;it ITA;GK;Sampdoria;it Serie A;21;1997;36;36;3240;36.0;1.42;1.42;4.08;2.67;70.1;0.39;0.19;0.42;0.31;30.6;0.22;0.19;0.03;0.00;12.5;Matches;649b01d8
11;Francesco Bardi;it ITA;GK;Frosinone;it Serie A;26;1992;3;3;270;3.0;1.67;1.67;4.00;2.33;58.3;0.00;0.33;0.67;0.33;33.3;0.00;0.00;0.00;0.00;;Matches;0acda699
12;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;28;1990;33;33;2970;33.0;1.55;1.55;5.03;3.52;72.9;0.36;0.36;0.27;0.15;15.2;0.18;0.18;0.00;0.00;0.0;Matches;47064058
13;Asmir Begovi?;ba BIH;GK;Bournemouth;eng Premier League;31;1987;24;24;2160;24.0;1.96;1.96;4.33;2.46;56.7;0.33;0.13;0.54;0.21;20.8;0.08;0.08;0.00;0.00;0.0;Matches;7b4de647
14;Diego Benaglio;ch SUI;GK;Monaco;fr Ligue 1;34;1983;23;22;2057;22.9;1.66;1.66;4.19;2.49;63.5;0.17;0.26;0.52;0.17;18.2;0.22;0.13;0.09;0.00;40.0;Matches;b7e7937d
15;Walter Benítez;ar ARG;GK;Nice;fr Ligue 1;25;1993;35;35;3150;35.0;0.83;0.83;4.09;3.20;81.1;0.43;0.29;0.29;0.46;45.7;0.14;0.06;0.09;0.00;60.0;Matches;8a2248b4
16;Etrit Berisha;al ALB;GK;Atalanta;it Serie A;29;1989;18;18;1620;18.0;1.39;1.39;3.50;2.28;61.9;0.50;0.17;0.33;0.28;27.8;0.11;0.06;0.00;0.06;0.0;Matches;ee833569
17;Paul Bernardoni;fr FRA;GK;Nîmes;fr Ligue 1;21;1997;38;38;3420;38.0;1.53;1.53;4.74;3.21;70.0;0.39;0.21;0.39;0.26;26.3;0.13;0.11;0.03;0.00;20.0;Matches;28dabd43
18;Dimitry Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;20;1998;1;1;90;1.0;0.00;0.00;1.00;1.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;380a15e2
19;Marcus Bettinelli;eng ENG;GK;Fulham;eng Premier League;26;1992;7;7;630;7.0;2.86;2.86;5.71;2.71;52.5;0.14;0.29;0.57;0.00;0.0;0.43;0.14;0.14;0.14;50.0;Matches;0d85a4e8
20;Rubén Blanco;es ESP;GK;Celta Vigo;es La Liga;23;1995;25;25;2250;25.0;1.60;1.60;4.36;2.76;67.0;0.28;0.24;0.48;0.24;24.0;0.20;0.16;0.00;0.04;0.0;Matches;967f34d3
21;Artur Boruc;pl POL;GK;Bournemouth;eng Premier League;38;1980;12;12;1080;12.0;1.50;1.50;4.67;3.17;73.2;0.33;0.25;0.42;0.33;33.3;0.25;0.25;0.00;0.00;0.0;Matches;34ccf6fa
22;Zacharie Boucher;fr FRA;GK;Angers;fr Ligue 1;26;1992;2;2;180;2.0;0.50;0.50;2.00;1.50;75.0;0.50;0.50;0.00;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;249cdcff
23;Yassine Bounou;ma MAR;GK;Girona;es La Liga;27;1991;32;32;2862;31.8;1.35;1.35;5.22;3.90;77.7;0.25;0.31;0.44;0.25;25.0;0.19;0.19;0.00;0.00;0.0;Matches;f6798fc3
24;Fabian Bredlow;de GER;GK;Nürnberg;de Bundesliga;23;1995;14;12;1127;12.5;2.24;2.24;4.88;2.56;54.1;0.16;0.24;0.56;0.16;16.7;0.16;0.00;0.08;0.08;100.0;Matches;d28339cb
25;Gianluigi Buffon;it ITA;GK;Paris S-G;fr Ligue 1;40;1978;17;17;1530;17.0;1.06;1.06;3.82;2.88;73.8;0.76;0.06;0.18;0.35;35.3;0.12;0.06;0.06;0.00;50.0;Matches;e40d028b
26;Roman Bürki;ch SUI;GK;Dortmund;de Bundesliga;27;1990;32;32;2880;32.0;1.25;1.25;4.00;2.75;71.9;0.66;0.22;0.13;0.31;31.3;0.13;0.13;0.00;0.00;0.0;Matches;9d12e142
27;Ludovic Butelle;fr FRA;GK;Angers;fr Ligue 1;35;1983;36;36;3239;36.0;1.33;1.33;4.47;3.14;72.0;0.25;0.42;0.33;0.31;30.6;0.14;0.08;0.06;0.00;40.0;Matches;26975a92
28;David Button;eng ENG;GK;Brighton;eng Premier League;29;1989;4;4;360;4.0;1.25;1.25;4.50;3.25;83.3;0.25;0.25;0.50;0.25;25.0;0.50;0.50;0.00;0.00;0.0;Matches;e608ed4c
29;Willy Caballero;ar ARG;GK;Chelsea;eng Premier League;36;1981;2;2;180;2.0;0.00;0.00;1.50;1.50;100.0;0.50;0.50;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;a179d516
30;Rafael Cabral;br BRA;GK;Sampdoria;it Serie A;28;1990;2;2;180;2.0;0.00;0.00;1.00;1.00;100.0;0.50;0.50;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;806f7a26
31;Marc-Aurèle Caillard;fr FRA;GK;Guingamp;fr Ligue 1;24;1994;21;21;1890;21.0;1.62;1.62;4.43;2.76;64.5;0.19;0.33;0.48;0.29;28.6;0.10;0.05;0.05;0.00;50.0;Matches;5ee6e943
32;Yoan Cardinale;fr FRA;GK;Nice;fr Ligue 1;24;1994;3;3;270;3.0;2.00;2.00;4.00;2.00;58.3;0.00;0.33;0.67;0.00;0.0;0.33;0.33;0.00;0.00;0.0;Matches;950ff24d
33;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;26;1992;26;26;2295;25.5;1.53;1.53;4.67;3.10;70.6;0.43;0.24;0.35;0.31;30.8;0.20;0.16;0.04;0.00;20.0;Matches;db401046
34;Petr ?ech;cz CZE;GK;Arsenal;eng Premier League;36;1982;7;7;585;6.5;1.38;1.38;5.69;4.31;75.7;0.77;0.00;0.31;0.15;14.3;0.00;0.00;0.00;0.00;;Matches;71672fa0
35;Leandro Chichizola;ar ARG;GK;Getafe;es La Liga;28;1990;1;1;90;1.0;1.00;1.00;1.00;0.00;0.0;1.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;8d957256
36;Jasper Cillessen;nl NED;GK;Barcelona;es La Liga;29;1989;3;3;270;3.0;1.33;1.33;4.67;3.33;78.6;0.33;0.33;0.33;0.33;33.3;0.33;0.33;0.00;0.00;0.0;Matches;04ac8285
37;Joel Coleman;eng ENG;GK;Huddersfield;eng Premier League;22;1995;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;b73e459a
38;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;31;1987;36;36;3213;35.7;1.57;1.57;4.34;2.75;66.5;0.25;0.42;0.34;0.34;33.3;0.22;0.11;0.08;0.03;42.9;Matches;8cabdc1e
39;Benoît Costil;fr FRA;GK;Bordeaux;fr Ligue 1;31;1987;37;37;3330;37.0;1.14;1.14;4.11;2.95;76.3;0.24;0.30;0.46;0.24;24.3;0.19;0.16;0.03;0.00;14.3;Matches;2434f24a
40;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;26;1992;27;27;2430;27.0;1.33;1.33;3.85;2.48;71.2;0.52;0.11;0.37;0.30;29.6;0.30;0.22;0.04;0.04;14.3;Matches;1840e36d
41;Alessio Cragno;it ITA;GK;Cagliari;it Serie A;24;1994;38;38;3420;38.0;1.42;1.42;5.39;3.97;77.6;0.26;0.29;0.45;0.18;18.4;0.26;0.21;0.05;0.00;20.0;Matches;f554e29b
