;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
1;Ismael Aaneba;fr FRA;DF;Strasbourg;fr Ligue 1;21;1999;0.1;10.0;10.0;100.0;380.0;80.0;0.00;0.00;;0.00;0.00;;10.0;10.0;100.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;a7e4760c
2;Patrick van Aanholt;nl NED;DF;Crystal Palace;eng Premier League;29;1990;19.7;46.0;59.1;77.8;674.5;304.1;27.7;31.1;88.9;14.4;18.3;78.7;2.59;5.33;48.6;0.05;0.04;0.09;0.02;0.56;3.60;1.02;0.20;5.23;Matches;5f09991f
3;Issah Abbas;gh GHA;DFFW;Mainz 05;de Bundesliga;21;1998;0.2;60.0;75.0;80.0;890.0;220.0;35.0;45.0;77.8;25.0;25.0;100.0;0.00;5.00;0.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;Matches;2590ddf7
4;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;32;1987;32.1;46.9;54.9;85.5;940.0;379.8;13.3;15.0;88.4;28.3;31.1;91.0;4.80;7.41;64.7;0.00;0.01;0.01;-0.01;0.12;2.37;0.03;0.00;3.08;Matches;32c2d95f
5;Sabit Abdulai;gh GHA;MF;Getafe;es La Liga;21;1999;0.7;10.0;20.0;50.0;200.0;14.3;2.86;7.14;40.0;5.71;5.71;100.0;1.43;4.29;33.3;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;1.43;Matches;9f9e1b9c
6;Mehdi Abeid;dz ALG;MF;Nantes;fr Ligue 1;27;1992;14.7;41.2;48.8;84.3;724.2;199.2;19.0;20.3;93.6;16.3;18.1;89.8;4.76;7.89;60.3;0.00;0.05;0.05;-0.05;0.82;4.35;0.48;0.27;4.42;Matches;a4c3f7af
7;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;27;1993;32.9;39.1;47.5;82.4;687.9;199.1;18.0;20.1;89.4;15.9;18.1;87.9;4.41;6.81;64.7;0.03;0.05;0.04;-0.02;0.61;3.50;0.40;0.12;4.19;Matches;31626657
8;Charles Abi;fr FRA;FWMF;Saint-Étienne;fr Ligue 1;20;2000;10.1;12.7;20.0;63.4;168.6;31.4;8.02;11.0;73.0;2.67;4.36;61.4;0.89;1.68;52.9;0.20;0.03;0.03;0.17;0.59;1.09;0.59;0.00;2.08;Matches;469d3d84
