;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
1;Álvaro Aceves;es ESP;GK;Valladolid;es La Liga;19-229;2003;1;0;13;0.1;0.00;0.00;30.0;30.0;100.0;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;Matches;be6faae0
2;Julen Agirrezabala;es ESP;GK;Athletic Club;es La Liga;22-076;2000;3;2;225;2.5;0.40;0.40;3.20;2.80;87.5;0.00;0.40;0.40;0.40;50.0;0.00;0.00;0.00;0.00;;Matches;a2c1a8d3
3;Do?an Alemdar;tr TUR;GK;Rennes;fr Ligue 1;20-134;2002;3;2;225;2.5;1.60;1.60;3.20;1.20;50.0;0.40;0.00;0.40;0.00;0.0;0.40;0.00;0.40;0.00;100.0;Matches;9e17ccff
4;Alisson;br BRA;GK;Liverpool;eng Premier League;30-161;1992;26;26;2340;26.0;1.12;1.12;4.04;2.96;74.3;0.46;0.23;0.31;0.38;38.5;0.12;0.08;0.04;0.00;33.3;Matches;7a2e46a8
5;Alphonse Areola;fr FRA;GK;West Ham;eng Premier League;30-013;1993;4;1;219;2.4;2.50;2.47;5.00;2.50;66.7;0.00;0.00;0.42;0.42;100.0;0.83;0.83;0.00;0.00;0.0;Matches;2f965a72
6;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;28-160;1994;18;18;1575;17.5;0.80;0.80;3.94;3.26;79.7;0.40;0.34;0.29;0.46;44.4;0.00;0.00;0.00;0.00;;Matches;28d596a0
7;Sergio Asenjo;es ESP;GK;Valladolid;es La Liga;33-257;1989;8;8;720;8.0;1.50;1.50;3.50;2.00;57.1;0.25;0.25;0.50;0.13;12.5;0.00;0.00;0.00;0.00;;Matches;9f0ea33f
8;Emil Audero;it ITA;GK;Sampdoria;it Serie A;26-053;1997;25;25;2250;25.0;1.56;1.56;4.84;3.28;71.9;0.08;0.24;0.68;0.16;16.0;0.28;0.20;0.08;0.00;28.6;Matches;649b01d8
9;Édgar Badía;es ESP;GK;Elche;es La Liga;31-028;1992;25;25;2250;25.0;1.96;1.96;5.96;3.92;71.8;0.08;0.28;0.64;0.04;4.0;0.40;0.28;0.12;0.00;30.0;Matches;e4346678
10;Oliver Baumann;de GER;GK;Hoffenheim;de Bundesliga;32-283;1990;23;23;2070;23.0;1.83;1.83;5.00;3.22;64.3;0.22;0.17;0.61;0.17;17.4;0.09;0.04;0.00;0.04;0.0;Matches;47064058
11;Gavin Bazunu;ie IRL;GK;Southampton;eng Premier League;21-020;2002;25;25;2250;25.0;1.64;1.64;3.68;2.16;55.4;0.24;0.12;0.64;0.12;12.0;0.04;0.00;0.04;0.00;100.0;Matches;c91441dc
12;Asmir Begovi?;ba BIH;GK;Everton;eng Premier League;35-265;1987;1;1;90;1.0;0.00;0.00;4.00;4.00;100.0;1.00;0.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;7b4de647
13;Paul Bernardoni;fr FRA;GK;Angers;fr Ligue 1;25-328;1997;18;18;1620;18.0;2.39;2.39;5.50;3.22;61.6;0.00;0.22;0.78;0.11;11.1;0.33;0.28;0.00;0.06;0.0;Matches;28dabd43
14;Marco Bizot;nl NED;GK;Brest;fr Ligue 1;32-002;1991;26;26;2340;26.0;1.69;1.69;5.27;3.58;71.5;0.19;0.27;0.54;0.15;15.4;0.27;0.19;0.08;0.00;28.6;Matches;3d214e5f
15;Rubén Blanco;es ESP;GK;Marseille;fr Ligue 1;27-230;1995;4;4;360;4.0;1.25;1.25;4.00;3.25;68.8;0.25;0.50;0.25;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;967f34d3
16;Janis Blaswich;de GER;GK;RB Leipzig;de Bundesliga;31-314;1991;17;17;1530;17.0;1.12;1.12;2.82;1.76;70.8;0.59;0.24;0.18;0.24;23.5;0.35;0.29;0.06;0.00;16.7;Matches;663e080e
17;Joaquín Blázquez;ar ARG;GK;Brest;fr Ligue 1;22-043;2001;1;1;90;1.0;0.00;0.00;3.00;3.00;100.0;0.00;1.00;0.00;1.00;100.0;0.00;0.00;0.00;0.00;;Matches;6a9e4913
18;Yassine Bounou;ma MAR;GK;Sevilla;es La Liga;31-341;1991;22;22;1935;21.5;1.67;1.67;4.56;2.93;65.3;0.28;0.28;0.47;0.19;18.2;0.14;0.09;0.05;0.00;33.3;Matches;f6798fc3
19;Claudio Bravo;cl CHI;GK;Betis;es La Liga;39-333;1983;6;6;540;6.0;0.83;0.83;3.33;2.50;80.0;0.33;0.50;0.17;0.33;33.3;0.17;0.17;0.00;0.00;0.0;Matches;10072610
20;Fabian Bredlow;de GER;GK;Stuttgart;de Bundesliga;28-010;1995;5;5;450;5.0;1.40;1.40;4.40;3.00;77.3;0.20;0.20;0.60;0.20;20.0;0.40;0.40;0.00;0.00;0.0;Matches;d28339cb
21;Marcin Bu?ka;pl POL;GK;Nice;fr Ligue 1;23-159;1999;2;2;180;2.0;1.00;1.00;3.00;2.00;66.7;0.00;0.50;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;db87a2c4
22;Juan Carlos;es ESP;GK;Girona;es La Liga;35-051;1988;10;10;900;10.0;1.80;1.80;4.30;2.50;62.8;0.20;0.20;0.60;0.00;0.0;0.20;0.20;0.00;0.00;0.0;Matches;688b96e3
23;Marco Carnesecchi;it ITA;GK;Cremonese;it Serie A;22-254;2000;16;16;1440;16.0;1.69;1.69;5.50;3.88;71.6;0.06;0.38;0.56;0.13;12.5;0.13;0.13;0.00;0.00;0.0;Matches;8ec56e62
24;Matis Carvalho;pt POR;GK;Montpellier;fr Ligue 1;23-318;1999;2;1;136;1.5;2.00;1.99;5.33;3.33;62.5;0.00;0.00;0.67;0.67;100.0;0.00;0.00;0.00;0.00;;Matches;8608f269
25;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;30-260;1992;23;23;2070;23.0;1.35;1.35;4.30;2.96;71.7;0.39;0.30;0.30;0.39;39.1;0.22;0.13;0.04;0.04;25.0;Matches;db401046
26;Leonardo César Jardim;br BRA;GK;Lille;fr Ligue 1;27-357;1995;6;6;540;6.0;2.17;2.17;2.50;0.67;26.7;0.50;0.17;0.33;0.00;0.0;0.33;0.33;0.00;0.00;0.0;Matches;f5dfc256
27;Lucas Chevalier;fr FRA;GK;Lille;fr Ligue 1;21-126;2001;21;21;1890;21.0;1.10;1.10;3.62;2.62;71.1;0.48;0.29;0.24;0.33;33.3;0.10;0.05;0.05;0.00;50.0;Matches;b3d76d84
28;Oliver Christensen;dk DEN;GK;Hertha BSC;de Bundesliga;23-355;1999;24;24;2160;24.0;1.88;1.87;4.13;2.21;57.6;0.21;0.25;0.54;0.13;12.5;0.17;0.13;0.04;0.00;25.0;Matches;af104654
29;Andrea Consigli;it ITA;GK;Sassuolo;it Serie A;36-044;1987;23;23;2070;23.0;1.48;1.48;3.30;1.83;59.2;0.35;0.22;0.43;0.30;30.4;0.13;0.13;0.00;0.00;0.0;Matches;8cabdc1e
30;Benoît Costil;fr FRA;GK;Auxerre;fr Ligue 1;35-252;1987;19;19;1710;19.0;2.16;2.16;5.05;2.89;60.4;0.16;0.21;0.63;0.11;10.5;0.16;0.16;0.00;0.00;0.0;Matches;2434f24a
31;Thibaut Courtois;be BEL;GK;Real Madrid;es La Liga;30-305;1992;19;19;1710;19.0;0.84;0.84;3.47;2.63;81.8;0.68;0.21;0.11;0.32;31.6;0.21;0.21;0.00;0.00;0.0;Matches;1840e36d
32;Alessio Cragno;it ITA;GK;Monza;it Serie A;28-257;1994;1;1;90;1.0;3.00;3.00;5.00;2.00;40.0;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;f554e29b
33;Finn Dahmen;de GER;GK;Mainz 05;de Bundesliga;24-350;1998;6;6;540;6.0;1.67;1.67;4.67;2.83;67.9;0.50;0.17;0.33;0.00;0.0;0.33;0.17;0.17;0.00;50.0;Matches;dee3013b
34;Rémy Descamps;fr FRA;GK;Nantes;fr Ligue 1;26-260;1996;1;1;90;1.0;1.00;1.00;6.00;5.00;83.3;0.00;1.00;0.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;477e50ce
35;Michele Di Gregorio;it ITA;GK;Monza;it Serie A;25-228;1997;24;24;2160;24.0;1.33;1.33;4.29;3.00;68.9;0.38;0.21;0.42;0.29;29.2;0.00;0.00;0.00;0.00;;Matches;4e0c8d66
36;Mory Diaw;sn SEN;GK;Clermont Foot;fr Ligue 1;29-263;1993;26;26;2340;26.0;1.31;1.31;4.38;3.00;76.3;0.35;0.27;0.38;0.27;26.9;0.35;0.27;0.08;0.00;22.2;Matches;f41a69e6
37;Stole Dimitrievski;mk MKD;GK;Rayo Vallecano;es La Liga;29-077;1993;24;24;2160;24.0;1.04;1.04;3.67;2.71;75.0;0.38;0.33;0.29;0.38;37.5;0.17;0.13;0.00;0.04;0.0;Matches;fc70e345
38;Yehvann Diouf;fr FRA;GK;Reims;fr Ligue 1;23-116;1999;19;19;1710;19.0;0.63;0.63;4.11;3.47;84.6;0.42;0.53;0.05;0.58;57.9;0.00;0.00;0.00;0.00;;Matches;eedea60b
39;Marko Dmitrovi?;rs SRB;GK;Sevilla;es La Liga;31-047;1992;3;2;225;2.5;1.20;1.20;5.60;4.40;78.6;0.00;0.40;0.40;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;ac295d9e
40;Gianluigi Donnarumma;it ITA;GK;Paris S-G;fr Ligue 1;24-015;1999;27;27;2430;27.0;0.96;0.96;4.00;3.04;76.9;0.78;0.11;0.11;0.41;40.7;0.07;0.04;0.04;0.00;50.0;Matches;08f5afaa
