;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
1;Brenden Aaronson;us USA;MFFW;Leeds United;eng Premier League;22-156;2000;21.6;22.7;30.6;74.3;283.7;82.6;13.3;16.4;81.1;5.83;7.59;76.8;0.74;2.13;34.8;0.09;0.17;0.10;-0.08;1.67;1.76;0.60;0.09;3.33;Matches;5bc43860
2;Paxten Aaronson;us USA;MF;Eint Frankfurt;de Bundesliga;19-213;2003;0.1;40.0;40.0;100.0;490.0;0.00;30.0;30.0;100.0;10.0;10.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;4cd41883
3;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;35-180;1987;28.0;42.5;51.7;82.1;835.7;347.1;11.8;13.7;85.7;26.1;28.8;90.6;3.96;7.57;52.4;0.04;0.01;0.02;0.02;0.36;3.43;0.11;0.00;5.25;Matches;32c2d95f
4;Himad Abdelli;fr FRA;MFFW;Angers;fr Ligue 1;23-130;1999;14.0;39.9;49.1;81.2;689.3;168.1;17.5;20.9;83.9;16.3;19.3;84.4;4.57;6.29;72.7;0.00;0.14;0.11;-0.14;1.57;4.21;1.36;0.29;6.00;Matches;7978cbf0
5;Salis Abdul Samed;gh GHA;MF;Lens;fr Ligue 1;23-001;2000;26.0;57.8;63.0;91.7;918.5;224.4;28.0;30.1;93.1;24.4;25.8;94.6;3.31;4.19;78.9;0.04;0.06;0.07;-0.02;0.58;5.58;0.54;0.08;5.38;Matches;82464ce3
6;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;30-054;1993;17.2;44.0;50.4;87.2;727.6;264.5;20.3;21.9;92.8;18.8;21.0;89.5;3.26;5.00;65.1;0.06;0.06;0.05;-0.01;0.58;4.36;0.41;0.00;5.23;Matches;31626657
7;Oliver Abildgaard;dk DEN;MFDF;Hellas Verona;it Serie A;26-290;1996;0.9;12.2;24.4;50.0;143.3;84.4;7.78;11.1;70.0;3.33;8.89;37.5;0.00;1.11;0.0;0.00;0.11;0.00;-0.11;1.11;1.11;0.00;0.00;1.11;Matches;8f5cdf66
8;Matthis Abline;fr FRA;FW;Auxerre;fr Ligue 1;19-364;2003;6.7;8.36;12.2;68.3;134.0;28.1;3.28;4.48;73.3;3.88;4.93;78.8;0.45;1.04;42.9;0.15;0.06;0.03;0.09;0.45;0.75;0.45;0.15;1.04;Matches;0e46fa2f
