edge;cost
1;2.635000000000000e+03
2;2.713000000000000e+03
3;2.437000000000000e+03
4;1.600000000000000e+03
5;2.845000000000000e+03
6;6.002000000000000e+03
7;1.743000000000000e+03
8;5.940000000000000e+02
9;2.182000000000000e+03
10;2.906000000000000e+03
11;1.658000000000000e+03
12;4.640000000000000e+02
13;3.334000000000000e+03
14;3.987000000000000e+03
15;2.870000000000000e+03
16;2.601000000000000e+03
17;3.300000000000000e+02
18;3.049000000000000e+03
19;1.302000000000000e+03
20;3.399000000000000e+03
21;1.946000000000000e+03
22;1.278000000000000e+03
23;6.690000000000000e+02
24;6.270000000000000e+02
25;2.878000000000000e+03
26;1.737000000000000e+03
27;3.124000000000000e+03
28;2.878000000000000e+03
29;3.070000000000000e+02
30;5.217000000000000e+03
31;7.990000000000000e+02
32;3.305000000000000e+03
33;3.716000000000000e+03
34;2.251000000000000e+03
35;2.878000000000000e+03
36;3.467000000000000e+03
37;4.316000000000000e+03
38;2.963000000000000e+03
39;5.120000000000000e+02
40;2.515000000000000e+03
41;4.850000000000000e+03
42;1.937000000000000e+03
43;3.670000000000000e+02
44;3.601000000000000e+03
45;3.936000000000000e+03
46;2.430000000000000e+03
47;2.691000000000000e+03
48;2.087000000000000e+03
49;1.861000000000000e+03
50;2.358000000000000e+03
51;2.263000000000000e+03
52;1.425000000000000e+03
53;2.266000000000000e+03
54;2.166000000000000e+03
55;3.870000000000000e+03
56;1.417000000000000e+03
57;7.390000000000000e+02
0;2.635000000000000e+03
2;3.140000000000000e+02
3;2.636000000000000e+03
4;6.660000000000000e+02
5;1.096000000000000e+03
6;4.645000000000000e+03
7;6.930000000000000e+02
8;2.889000000000000e+03
9;2.870000000000000e+02
10;7.720000000000000e+02
11;1.135000000000000e+03
12;2.875000000000000e+03
13;1.424000000000000e+03
14;2.185000000000000e+03
15;1.193000000000000e+03
16;8.460000000000000e+02
17;2.142000000000000e+03
18;1.127000000000000e+03
19;3.104000000000000e+03
20;1.484000000000000e+03
21;4.900000000000000e+02
22;9.900000000000000e+02
23;1.950000000000000e+03
24;2.855000000000000e+03
25;9.750000000000000e+02
26;9.260000000000000e+02
27;1.214000000000000e+03
28;5.990000000000000e+02
29;2.535000000000000e+03
30;3.860000000000000e+03
31;3.027000000000000e+03
32;1.407000000000000e+03
33;1.811000000000000e+03
34;3.590000000000000e+02
35;1.060000000000000e+03
36;1.557000000000000e+03
37;2.959000000000000e+03
38;3.940000000000000e+02
39;2.740000000000000e+03
40;9.800000000000000e+01
41;3.538000000000000e+03
42;8.560000000000000e+02
43;2.026000000000000e+03
44;1.710000000000000e+03
45;1.733000000000000e+03
46;5.080000000000000e+02
47;1.940000000000000e+02
48;5.320000000000000e+02
49;2.906000000000000e+03
50;4.350000000000000e+02
51;3.350000000000000e+02
52;2.470000000000000e+03
53;1.370000000000000e+02
54;2.340000000000000e+02
55;2.072000000000000e+03
56;1.196000000000000e+03
57;1.517000000000000e+03
0;2.713000000000000e+03
1;3.140000000000000e+02
3;2.730000000000000e+03
4;7.060000000000000e+02
5;7.910000000000000e+02
6;4.588000000000000e+03
7;9.220000000000000e+02
8;2.991000000000000e+03
9;2.170000000000000e+02
10;7.600000000000000e+02
11;1.050000000000000e+03
12;2.915000000000000e+03
13;1.119000000000000e+03
14;1.776000000000000e+03
15;1.451000000000000e+03
16;5.410000000000000e+03
17;2.182000000000000e+03
18;8.460000000000000e+02
19;3.333000000000000e+03
20;5.780000000000000e+02
21;7.210000000000000e+02
22;1.030000000000000e+03
23;1.990000000000000e+03
24;2.895000000000000e+03
25;6.700000000000000e+02
26;8.350000000000000e+02
27;9.090000000000000e+02
28;2.870000000000000e+02
29;2.575000000000000e+03
30;3.803000000000000e+03
31;3.067000000000000e+03
32;1.102000000000000e+03
33;1.505000000000000e+03
34;1.580000000000000e+02
35;4.390000000000000e+02
36;1.248000000000000e+03
37;2.902000000000000e+03
38;2.870000000000000e+02
39;2.780000000000000e+03
40;2.760000000000000e+02
41;3.436000000000000e+03
42;7.710000000000000e+02
43;2.066000000000000e+03
44;1.395000000000000e+03
45;1.740000000000000e+03
46;4.070000000000000e+02
47;2.790000000000000e+02
48;3.340000000000000e+02
49;3.135000000000000e+03
50;3.370000000000000e+02
51;2.350000000000000e+02
52;2.699000000000000e+03
53;4.510000000000000e+02
54;5.460000000000000e+02
55;1.882000000000000e+03
56;2.699000000000000e+03
57;1.557000000000000e+03
0;2.437000000000000e+03
1;2.636000000000000e+03
2;2.730000000000000e+03
4;2.824000000000000e+03
5;3.457000000000000e+03
6;6.083000000000000e+03
7;2.120000000000000e+03
8;2.040000000000000e+03
9;2.844000000000000e+03
10;2.973000000000000e+03
11;3.937000000000000e+03
12;1.958000000000000e+03
13;3.710000000000000e+03
14;4.363000000000000e+03
15;2.941000000000000e+03
16;3.207000000000000e+03
17;1.991000000000000e+03
18;3.512000000000000e+03
19;1.571000000000000e+03
20;3.392000000000000e+03
21;2.013000000000000e+03
22;2.922000000000000e+03
23;2.368000000000000e+03
24;2.170000000000000e+03
25;3.336000000000000e+03
26;3.503000000000000e+03
27;3.500000000000000e+03
28;2.884000000000000e+03
29;2.109000000000000e+03
30;5.298000000000000e+03
31;2.108000000000000e+03
32;3.643000000000000e+03
33;4.092000000000000e+03
34;2.934000000000000e+03
35;3.093000000000000e+03
36;3.843000000000000e+03
37;4.391000000000000e+03
38;2.763000000000000e+03
39;2.083000000000000e+03
40;2.543000000000000e+03
41;4.925000000000000e+03
42;3.236000000000000e+03
43;2.107000000000000e+03
44;3.939000000000000e+03
45;4.274000000000000e+03
46;3.008000000000000e+03
47;2.522000000000000e+03
48;3.006000000000000e+03
49;8.060000000000000e+02
50;2.936000000000000e+03
51;3.026000000000000e+03
52;9.470000000000000e+02
53;2.464000000000000e+03
54;2.364000000000000e+03
55;4.208000000000000e+03
56;3.116000000000000e+03
57;2.390000000000000e+03
0;1.600000000000000e+03
1;6.660000000000000e+02
2;7.060000000000000e+02
3;2.824000000000000e+03
5;1.247000000000000e+03
6;4.746000000000000e+03
7;7.160000000000000e+02
8;2.223000000000000e+03
9;5.840000000000000e+02
10;1.442000000000000e+03
11;6.940000000000000e+02
12;2.089000000000000e+03
13;1.577000000000000e+03
14;2.230000000000000e+03
15;1.609000000000000e+03
16;1.003000000000000e+03
17;1.260000000000000e+03
18;1.297000000000000e+03
19;2.535000000000000e+03
20;1.511000000000000e+03
21;9.080000000000000e+02
22;3.240000000000000e+02
23;1.116000000000000e+03
24;2.183000000000000e+03
25;1.126000000000000e+03
26;2.600000000000000e+02
27;1.367000000000000e+03
28;9.960000000000000e+02
29;1.863000000000000e+03
30;3.961000000000000e+03
31;2.355000000000000e+03
32;1.565000000000000e+03
33;1.959000000000000e+03
34;6.600000000000000e+02
35;1.106000000000000e+03
36;1.710000000000000e+03
37;3.060000000000000e+03
38;9.910000000000000e+02
39;2.068000000000000e+03
40;5.230000000000000e+02
41;3.594000000000000e+03
42;4.340000000000000e+02
43;1.354000000000000e+03
44;1.861000000000000e+03
45;2.196000000000000e+03
46;6.580000000000000e+02
47;7.500000000000000e+02
48;5.630000000000000e+02
49;2.929000000000000e+03
50;5.860000000000000e+02
51;6.680000000000000e+02
52;2.493000000000000e+03
53;4.940000000000000e+02
54;5.570000000000000e+02
55;2.130000000000000e+03
56;5.240000000000000e+02
57;8.510000000000000e+02
0;2.845000000000000e+03
1;1.096000000000000e+03
2;7.910000000000000e+02
3;3.457000000000000e+03
4;1.247000000000000e+03
6;5.126000000000000e+03
7;1.653000000000000e+03
8;3.545000000000000e+03
9;7.080000000000000e+02
10;1.298000000000000e+03
11;1.342000000000000e+03
12;3.451000000000000e+03
13;3.470000000000000e+02
14;1.126000000000000e+03
15;1.989000000000000e+03
16;2.500000000000000e+02
17;2.736000000000000e+03
18;1.380000000000000e+02
19;3.786000000000000e+03
20;8.880000000000000e+02
21;1.452000000000000e+03
22;1.671000000000000e+03
23;2.336000000000000e+03
24;3.431000000000000e+03
